SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-6.885.846,-3.286.414,"-68,85846-32,86414",480,11.018
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-6.885.847,-3.286.471,"-68,85847-32,86471",718,58.697
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-6.885.838,-3.286.632,"-68,85838-32,86632",1646,251.102
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-6.885.696,-3.286.675,"-68,85696-32,86675",2596,314.535
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-6.885.688,-3.286.915,"-68,85688-32,86915",3761,1.937.681
,Residencial urbano,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,-6.886.118,-3.286.345,"-68,86118-32,86345",238,53.248
6ta Seccion Residencial Norte,Residencial urbano,Urbano,77932,6,Residencial Norte,500071104,796,294,35,127,164,25,124,27,222,33,88,214,25,738,30,0,0,0,,,,-6.884.755,-3.286.344,"-68,84755-32,86344",241,182.803
6ta Seccion Residencial Norte,Residencial urbano,Urbano,,6,Residencial Norte,500491217,733,235,21,158,50,28,111,16,180,19,100,234,5,672,32,0,0,0,,,,-6.885.596,-3.286.346,"-68,85596-32,86346",246,81.721
6ta Seccion Residencial Norte,Comercial,Altamente urbano,64226,6,Residencial Norte,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,,,,-6.884.605,-328.738,"-68,84605-32,8738",2412,426.758
6ta Seccion Residencial Norte,Comercial,Altamente urbano,64226,6,Residencial Norte,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,,,,-6.884.592,-3.287.382,"-68,84592-32,87382",2429,464.106
6ta Seccion Residencial Norte,Residencial urbano,Urbano,81321,6,Residencial Norte,500071105,825,310,22,122,189,26,141,28,235,37,73,238,6,771,29,1,0,2,,,,-6.884.762,-3.286.621,"-68,84762-32,86621",1547,672.471
,,,,,,500491118,821,210,36,230,61,50,285,68,226,73,17,28,1,702,72,10,2,2,,,,-6.886.424,-3.286.363,"-68,86424-32,86363",302,4.727
6ta Seccion Residencial Norte,Residencial urbano,Urbano,81321,6,Residencial Norte,500071105,825,310,22,122,189,26,141,28,235,37,73,238,6,771,29,1,0,2,,,,-688.495,-3.286.632,"-68,8495-32,86632",1654,473.232
,Comercial,Altamente urbano,71373,4,,500070701,643,212,25,104,87,17,118,29,171,42,66,145,19,595,20,3,0,8,,,,-6.884.205,-3.286.365,"-68,84205-32,86365",323,835.445
6ta Seccion Residencial Norte,Residencial urbano,Urbano,81321,6,Residencial Norte,500071105,825,310,22,122,189,26,141,28,235,37,73,238,6,771,29,1,0,2,,,,-6.884.959,-3.286.533,"-68,84959-32,86533",1020,679.733
6ta Seccion Residencial Norte,Comercial,Altamente urbano,71373,6,Residencial Norte,500070701,643,212,25,104,87,17,118,29,171,42,66,145,19,595,20,3,0,8,,,,-6.884.314,-3.286.367,"-68,84314-32,86367",329,972.466
6ta Seccion Residencial Norte,Residencial urbano,Urbano,81321,6,Residencial Norte,500071105,825,310,22,122,189,26,141,28,235,37,73,238,6,771,29,1,0,2,,,,-6.885.106,-3.286.641,"-68,85106-32,86641",1696,492.793
8va Seccion Aeroparque,Residencial urbano,Urbano,121811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-6.886.412,-3.286.376,"-68,86412-32,86376",373,56.991
8va Seccion Aeroparque,Residencial urbano,Urbano,129962,8,Aeroparque,500071005,1244,335,66,350,129,56,491,101,320,63,39,33,1,1054,108,23,0,12,,,,-6.886.792,-3.286.391,"-68,86792-32,86391",414,104.734
8va Seccion Aeroparque,Residencial urbano,Urbano,143919,8,Aeroparque,500071004,1587,381,43,470,156,84,492,306,295,166,23,33,0,1360,132,30,0,6,,,,-6.886.851,-3.286.394,"-68,86851-32,86394",417,4.543
6ta Seccion Residencial Norte,Residencial urbano,Urbano,77932,6,Residencial Norte,500071104,796,294,35,127,164,25,124,27,222,33,88,214,25,738,30,0,0,0,,,,-6.884.911,-3.286.458,"-68,84911-32,86458",675,550.787
6ta Seccion Residencial Norte,Residencial urbano,Urbano,77932,6,Residencial Norte,500071104,796,294,35,127,164,25,124,27,222,33,88,214,25,738,30,0,0,0,,,,-6.884.861,-3.286.454,"-68,84861-32,86454",649,429.901
6ta Seccion Residencial Norte,Residencial urbano,Urbano,69804,6,Residencial Norte,500071102,878,309,27,123,192,20,115,38,181,41,91,327,36,831,25,0,0,2,,,,-6.885.506,-3.286.402,"-68,85506-32,86402",443,94.647
8va Seccion Aeroparque,Residencial urbano,Urbano,121811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-6.886.349,-328.641,"-68,86349-32,8641",465,83.236
,Residencial urbano,Urbano,71373,4,Cuarta Oeste,500070701,643,212,25,104,87,17,118,29,171,42,66,145,19,595,20,3,0,8,,,,-6.883.928,-328.641,"-68,83928-32,8641",472,726.648
6ta Seccion Residencial Norte,Residencial urbano,Urbano,69.06,6,Residencial Norte,500070605,504,189,10,81,86,13,54,27,118,14,66,180,14,474,16,1,0,1,,,,-6.885.343,-3.287.653,"-68,85343-32,87653",6842,1.897.516
6ta Seccion Residencial Norte,Residencial urbano,Urbano,61018,6,Residencial Norte,500070604,620,215,17,101,103,16,79,42,156,29,62,189,15,577,22,1,0,0,,,,-688.539,-3.287.536,"-68,8539-32,87536",6520,535.394
,Comercial,Altamente urbano,71373,4,,500070701,643,212,25,104,87,17,118,29,171,42,66,145,19,595,20,3,0,8,,,,-6.884.221,-3.286.431,"-68,84221-32,86431",541,909.268
6ta Seccion Residencial Norte,Residencial urbano,Urbano,64834,6,Residencial Norte,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,,,,-6.885.465,-3.287.415,"-68,85465-32,87415",6113,804.339
6ta Seccion Residencial Norte,Residencial urbano,Urbano,72185,6,Residencial Norte,500071107,770,257,15,143,149,26,168,34,212,33,72,178,7,712,27,2,0,4,,,,-6.884.554,-3.286.434,"-68,84554-32,86434",551,775.139
6ta Seccion Residencial Norte,Residencial urbano,Urbano,64834,6,Residencial Norte,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,,,,-6.885.545,-3.287.344,"-68,85545-32,87344",5986,1.000.023
6ta Seccion Residencial Norte,Residencial urbano,Urbano,81097,6,Residencial Norte,500070610,846,343,18,141,105,30,110,39,173,36,85,292,44,787,26,2,1,7,,,,-6.885.411,-3.288.223,"-68,85411-32,88223",8246,1.959.925
